strain	date
Wuhan/Hu-1/2019	2019-12-26
C7850	2020-05-15
C314	2020-04-04
C571	2020-04-10
C293	2020-04-04
C6470	2020-05-12
C6882	2020-05-13
C6519	2020-05-12
C25958	2020-06-27
C6868	2020-05-13
C7603	2020-05-14
C14075	2020-06-03
C7866	2020-05-15
C7605	2020-05-14
C6876	2020-05-13
C17912	2020-06-13
C29517	2020-07-06
C6524	2020-05-12
C7580	2020-05-14
C7579	2020-05-14
C570	2020-04-10
C639	2020-04-13
C310	2020-04-04
C316	2020-04-04
C657	2020-04-13
C659	2020-04-13
C1102	2020-04-18
C6914	2020-05-13
C13209	2020-06-01
C22	2020-03-17
C1063	2020-04-18
C4649	2020-05-08
C2449	2020-04-24
C1202	2020-04-19
C1172	2020-04-19
C27725	2020-07-02
C5767	2020-05-09
C3948	2020-05-04
C54	2020-03-25
C724	2020-04-15
C422	2020-04-09
C7078	2020-05-13
C5015	2020-05-07
C6953	2020-05-13
C5875	2020-05-10
C26	2020-03-21
C599	2020-04-11
C3457	2020-04-30
C253	2020-04-03
C815	2020-04-15
C32958	2020-07-17
C2755	2020-04-26
C1983	2020-04-22
C14722	2020-06-05
C569	2020-04-10
C416	2020-04-07
C677	2020-04-14
C353	2020-04-05
C377	2020-04-06
C14230	2020-06-04
C7297	2020-05-13
C7299	2020-05-13
C6255	2020-05-11
C26221	2020-06-29
C27764	2020-07-01
C26630	2020-06-29
C32299	2020-07-13
C24052	2020-06-24
C35123	2020-07-17
C27765	2020-07-02
C31823	2020-07-10
C30103	2020-07-07
C28495	2020-07-03
C24022	2020-06-23
C27763	2020-07-01
C30062	2020-07-06
C34392	2020-07-16
C37981	2020-07-27
C203	2020-04-01
C358	2020-04-05
C688	2020-04-14
C6878	2020-05-13
C1298	2020-04-20
C25662	2020-06-27
C20447	2020-06-19
C7547	2020-05-14
C7384	2020-05-13
C6875	2020-05-13
C6958	2020-05-13
C18021	2020-06-15
C22289	2020-06-22
C4706	2020-05-06
C17517	2020-06-13
C7855	2020-05-15
C8013	2020-05-15
C19080	2020-06-16
C5418	2020-05-08
C5433	2020-05-08
C5552	2020-05-09
C6707	2020-05-14
C24113	2020-06-24
C32615	2020-07-14
C21582	2020-06-19
C27523	2020-07-02
C32519	2020-07-14
C27664	2020-07-02
C37999	2020-07-28
C38000	2020-07-28
C223	2020-04-04
C656	2020-04-13
C587	2020-04-11
C658	2020-04-13
C6885	2020-05-13
C6740	2020-05-12
C4419	2020-05-05
C6186	2020-05-11
C23676	2020-06-23
C25310	2020-06-26
C34459	2020-07-17
C58	2020-03-24
C803	2020-04-15
C1722	2020-04-22
C4083	2020-05-04
C14984	2020-06-06
C3089	2020-04-29
C1499	2020-04-19
C1191	2020-04-19
C16881	2020-06-10
C7954	2020-05-14
C3216	2020-04-28
C4199	2020-05-06
C3381	2020-04-29
C4447	2020-05-05
C16957	2020-06-10
C713	2020-04-14
C926	2020-04-17
C2041	2020-04-22
C5911	2020-05-10
C2439	2020-04-24
C5915	2020-05-10
C5914	2020-05-10
C14421	2020-06-04
C16181	2020-06-09
C1092	2020-04-18
C2878	2020-04-27
C3427	2020-04-29
C4420	2020-05-07
C1351	2020-04-20
C2801	2020-04-26
C5288	2020-05-08
C7379	2020-05-13
C7380	2020-05-13
C2800	2020-04-27
C2239	2020-04-23
C14302	2020-06-04
C6518	2020-05-12
C2582	2020-04-25
C6711	2020-05-12
C4290	2020-05-05
C4895	2020-05-06
C4710	2020-05-06
C4497	2020-05-08
C5384	2020-05-08
C6564	2020-05-12
C5695	2020-05-09
C2685	2020-04-25
C6465	2020-05-12
C2884	2020-04-28
C3194	2020-04-28
C23121	2020-06-23
C23733	2020-06-24
C7417	2020-05-14
C7383	2020-05-13
C2076	2020-04-23
C3129	2020-04-28
C1739	2020-04-22
C1216	2020-04-19
C3140	2020-04-29
C7322	2020-05-13
C5442	2020-05-08
C7324	2020-05-12
C1422	2020-04-20
C1292	2020-04-20
C2562	2020-04-25
C6369	2020-05-14
C11204	2020-05-28
C24205	2020-06-25
C13996	2020-06-02
C7949	2020-05-15
C15388	2020-06-08
C14565	2020-06-04
C24157	2020-06-25
C23589	2020-06-24
C23318	2020-06-23
C28591	2020-07-03
C17085	2020-06-11
C16959	2020-06-01
C28838	2020-07-03
C28839	2020-07-03
C14933	2020-06-05
C20639	2020-06-18
C17149	2020-06-11
C460	2020-04-09
C452	2020-04-08
C4585	2020-05-05
C3980	2020-05-04
C20407	2020-06-19
C787	2020-04-15
C1058	2020-04-18
C2469	2020-04-24
C1751	2020-04-22
C5177	2020-05-07
C15659	2020-06-08
C30804	2020-07-09
C7409	2020-05-14
C7382	2020-05-13
C14866	2020-06-05
C18303	2020-06-15
C13825	2020-06-03
C17655	2020-06-12
C5790	2020-05-09
C4084	2020-05-04
C5008	2020-05-07
C5813	2020-05-09
C4616	2020-05-05
C4621	2020-05-05
C4717	2020-05-06
C5178	2020-05-07
C5301	2020-05-08
C5902	2020-05-10
C6561	2020-05-14
C8240	2020-05-14
C5455	2020-05-08
C2826	2020-04-27
C3205	2020-04-28
C2847	2020-04-27
C3208	2020-04-28
C13284	2020-06-01
C5119	2020-05-07
C6384	2020-05-14
C6377	2020-05-15
C8369	2020-05-16
C589	2020-04-11
C544	2020-04-10
C1162	2020-04-19
C942	2020-04-17
C4214	2020-05-04
C31141	2020-07-10
C25622	2020-06-27
C25438	2020-06-27
C32968	2020-07-17
C25538	2020-06-27
C5011	2020-05-07
C25853	2020-06-28
C21527	2020-06-19
C7081	2020-05-13
C6507	2020-05-12
C7584	2020-05-14
C7604	2020-05-14
C5328	2020-05-08
C2738	2020-04-26
C2777	2020-04-24
C6158	2020-05-11
C5696	2020-05-09
C5246	2020-05-09
C6298	2020-05-11
C5811	2020-05-09
C17469	2020-06-13
C22256	2020-06-22
C17244	2020-06-11
C1357	2020-04-20
C1646	2020-04-21
C5335	2020-05-08
C2531	2020-04-25
C1218	2020-04-20
C6977	2020-05-12
C8574	2020-05-17
C5701	2020-05-09
C6860	2020-05-14
C8579	2020-05-17
C3130	2020-04-28
C3445	2020-04-29
C3739	2020-05-01
C4074	2020-05-04
C19774	2020-06-18
C20682	2020-06-18
C5289	2020-05-08
C5334	2020-05-08
C22370	2020-06-21
C15470	2020-06-08
C29300	2020-07-05
C5913	2020-05-10
C8288	2020-05-14
C27640	2020-07-02
C8311	2020-05-15
C5885	2020-05-10
C4964	2020-05-05
C4691	2020-05-05
C4730	2020-05-05
C5355	2020-05-08
C5176	2020-05-07
C5029	2020-05-07
C30197	2020-07-08
C25616	2020-06-27
C6288	2020-05-11
C4714	2020-05-06
C4195	2020-05-06
C27611	2020-07-02
C5545	2020-05-10
C6380	2020-05-15
C6193	2020-05-10